"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 05 21:26:07 MST 2024","Tue Mar 05 21:26:08 MST 2024","1064","","Demo Tests","","","","First Test",""
"passed","Wed Mar 06 15:38:24 MST 2024","Wed Mar 06 15:38:25 MST 2024","1432","","Demo test","","","","Login test",""
"passed","Wed Mar 06 15:46:56 MST 2024","Wed Mar 06 15:46:57 MST 2024","1333","","Demo test","","","","Login test with POM",""
"passed","Tue Mar 05 21:06:14 MST 2024","Tue Mar 05 21:06:15 MST 2024","1331","","My Login application","","","","should login with valid credentials",""
"passed","Wed Mar 06 15:49:19 MST 2024","Wed Mar 06 15:49:20 MST 2024","1330","","Demo test POM","","","","Login test with POM",""
